customer_id,customer_name,customer_segment,country,created_date
CUST00095,Campbell-Clark,Enterprise,GB,2024-09-17
CUST00096,Harris-Walters,Enterprise,US,2022-01-24
CUST00097,Wagner-King,Commercial,US,2021-04-30
CUST00098,Davis Group,Consumer,US,2021-04-28
CUST00099,Williams-Cook,Consumer,GB,2023-09-04
CUST00100,Walsh LLC,Small Business,US,2023-11-07
CUST00101,Figueroa PLC,Consumer,US,2021-05-21
CUST00102,"Patterson, Smith and Jones",Consumer,US,2023-04-07
CUST00103,"Mckee, Gardner and Davenport",Consumer,GB,2022-05-20
CUST00104,"Tran, Jordan and Williams",Consumer,GB,2021-06-17
CUST00105,Nolan-Flynn,Enterprise,GB,2024-03-03
CUST00106,Nolan and Sons,Commercial,US,2022-02-23
CUST00107,"Wright, Garcia and Deleon",Commercial,US,2022-06-28
CUST00108,Dickson-Brady,Enterprise,US,2024-10-07
CUST00109,Hancock and Sons,Commercial,CA,2022-10-10
CUST00110,Johnson-Doyle,Consumer,US,2023-07-28
CUST00111,Patton-Jenkins,Consumer,US,2024-01-07
CUST00112,"Shields, Cochran and Adams",Small Business,GB,2022-06-28
CUST00113,"Rodriguez, Brennan and Garrison",Small Business,US,2025-12-10
CUST00114,Gonzalez Group,Consumer,US,2023-01-27
CUST00115,Torres-Pope,Commercial,US,2023-06-17
CUST00116,Walker Ltd,Commercial,GB,2025-07-11
CUST00117,Ross LLC,Consumer,GB,2022-09-06
CUST00118,Rasmussen LLC,Consumer,US,2022-06-26
CUST00119,May-Ross,Consumer,US,2025-03-01
CUST00120,"Rivera, Johnson and Wiley",Small Business,US,2022-08-01
CUST00121,White-Estes,Small Business,US,2022-02-21
CUST00122,Johnson-Carlson,Commercial,GB,2023-09-28
CUST00123,Chandler-Edwards,Commercial,US,2021-07-09
CUST00124,"Joyce, Wilson and Lam",Enterprise,US,2021-04-01
CUST00125,Scott Ltd,Consumer,US,2025-04-29
CUST00126,Smith-Frost,Small Business,US,2021-11-27
CUST00127,"Mcdaniel, Bentley and Mclaughlin",Enterprise,GB,2024-12-16
CUST00128,Diaz Inc,Enterprise,GB,2021-01-20
CUST00129,"Mccall, Hanson and Alvarado",Consumer,US,2025-12-14
CUST00130,Cortez LLC,Small Business,GB,2021-03-15
CUST00131,"Parker, Ortiz and Powell",Commercial,GB,2024-02-06
CUST00132,Spencer-Lee,Small Business,CA,2021-09-19
CUST00133,"Bentley, Byrd and Orr",Consumer,US,2023-01-17
CUST00134,"Carroll, Sullivan and Bass",Consumer,US,2022-03-07
CUST00135,Mitchell-Jordan,Small Business,US,2022-12-26
CUST00136,"Lawson, Morris and Ramos",Enterprise,GB,2025-03-15
CUST00137,"Lewis, Kennedy and Santana",Small Business,US,2025-11-06
CUST00138,"Jackson, Miller and Robertson",Small Business,US,2025-12-11
CUST00139,"Harvey, Davis and Crane",Enterprise,US,2022-01-03
CUST00140,Chambers and Sons,Commercial,CA,2025-07-01
CUST00141,Hernandez Inc,Small Business,US,2021-11-23
CUST00142,Riggs PLC,Consumer,CA,2025-11-22
CUST00143,Gibson Ltd,Consumer,CA,2022-04-01
CUST00144,"Lee, Horton and Snyder",Small Business,CA,2022-12-18
CUST00145,Hernandez Ltd,Commercial,US,2022-04-02
CUST00146,Stafford Inc,Consumer,US,2023-03-28
CUST00147,Robinson-Brock,Commercial,US,2025-11-06
CUST00148,"Holmes, Williams and Wright",Consumer,US,2022-12-21
CUST00149,Bryant Group,Enterprise,GB,2022-11-10
CUST00150,"Schmidt, Hansen and Stewart",Consumer,US,2025-12-02
CUST00151,Salazar-Ball,Commercial,US,2024-04-04
CUST00152,"Simmons, Meadows and Griffin",Commercial,US,2021-08-11
CUST00153,Manning Group,Enterprise,US,2025-02-01
CUST00154,Green-Wright,Commercial,CA,2024-05-26
CUST00155,"Ramirez, Strickland and Washington",Consumer,CA,2024-03-26
CUST00156,Hill Inc,Small Business,US,2021-04-01
CUST00157,"Mitchell, Nelson and Flores",Enterprise,US,2023-12-01
CUST00158,"Miller, Hernandez and Reyes",Small Business,US,2023-06-03
CUST00159,Mccarthy Inc,Consumer,US,2024-06-30
CUST00160,Russell-Daniels,Commercial,US,2025-01-14
CUST00161,Brown-Wall,Commercial,GB,2022-09-26
CUST00162,Stein-Silva,Enterprise,US,2023-04-05
CUST00163,"Smith, Gilmore and Johnston",Commercial,GB,2021-09-18
CUST00164,Smith-Bell,Small Business,CA,2024-09-23
CUST00165,Castaneda-Ashley,Enterprise,US,2024-06-14
CUST00166,Medina-Navarro,Commercial,CA,2024-01-28
CUST00167,"Hurst, Freeman and Nelson",Consumer,US,2022-08-11
CUST00168,Johnson-Rogers,Small Business,CA,2025-05-29
CUST00169,"Yates, Ramsey and Pittman",Commercial,CA,2023-06-24
CUST00170,Hooper PLC,Enterprise,US,2023-11-13
CUST00171,Meadows PLC,Enterprise,US,2024-09-11
CUST00172,"Alvarado, Miller and Patterson",Consumer,US,2023-11-22
CUST00173,White-Green,Commercial,US,2025-08-04
CUST00174,Lewis-Murphy,Small Business,US,2022-04-06
CUST00175,Ramirez-Bean,Small Business,US,2021-02-20
CUST00176,King-Miller,Consumer,US,2023-09-01
CUST00177,Curry Inc,Consumer,CA,2023-04-29
CUST00178,Walker-Jones,Small Business,CA,2023-10-10
CUST00179,"Williams, Johnson and Wright",Enterprise,US,2021-10-30
CUST00180,Howell and Sons,Consumer,US,2025-05-14
CUST00181,Wells Inc,Enterprise,US,2021-12-27
CUST00182,"Gould, Marshall and Scott",Enterprise,US,2024-02-16
CUST00183,Jackson-Lawson,Small Business,US,2023-07-24
CUST00184,"Higgins, Strickland and Martin",Small Business,CA,2024-09-29
CUST00185,Rodriguez-Johnson,Commercial,CA,2024-06-08
CUST00186,Johnston-Odonnell,Enterprise,GB,2023-07-03
CUST00187,Sanders-Espinoza,Small Business,CA,2023-07-11
CUST00188,Vargas Ltd,Commercial,US,2025-09-17
CUST00189,Garcia LLC,Commercial,GB,2023-09-20
CUST00190,"Burke, Martinez and Riggs",Small Business,US,2023-06-20
CUST00191,Reed Group,Consumer,US,2022-04-26
CUST00192,"Wood, Hunter and Peterson",Commercial,US,2022-10-17
CUST00193,Short-Garcia,Consumer,US,2021-11-05
CUST00194,Reid-Poole,Small Business,CA,2024-11-22
CUST00195,"Hernandez, Thompson and Boyd",Small Business,US,2021-05-12
CUST00196,"Nelson, Morton and Medina",Enterprise,CA,2022-11-09
CUST00197,Marshall-Petersen,Enterprise,CA,2021-05-08
CUST00198,"Adams, Christian and Rivas",Small Business,CA,2023-03-09
CUST00199,Ramirez Group,Consumer,GB,2023-02-19
CUST00200,Christensen PLC,Enterprise,US,2022-12-22
CUST00201,"Barnett, Rogers and Snyder",Commercial,CA,2025-10-14
CUST00202,White-Lewis,Enterprise,GB,2025-03-11
CUST00203,Peterson-Beard,Small Business,CA,2022-03-26
CUST00204,"Beard, Peters and Black",Commercial,CA,2023-09-22
CUST00205,Miller Ltd,Consumer,CA,2022-11-20
CUST00206,Freeman-Chang,Enterprise,US,2025-09-18
CUST00207,"Alvarez, Joseph and West",Enterprise,US,2024-06-28
CUST00208,Davis and Sons,Consumer,CA,2024-04-27
CUST00209,Holt-Torres,Consumer,US,2024-08-09
CUST00210,"Wood, Tran and Cooper",Enterprise,US,2025-11-11
CUST00211,"Pierce, Bell and Chavez",Enterprise,US,2021-04-13
CUST00212,King-Martinez,Commercial,CA,2022-11-02
CUST00213,Stewart Ltd,Small Business,CA,2022-11-01
CUST00214,"Tapia, Vaughn and Lee",Commercial,CA,2022-07-24
CUST00215,"Washington, Hardy and Bray",Enterprise,US,2025-09-06
CUST00216,"Carlson, Hooper and Wall",Consumer,CA,2021-02-09
CUST00217,Perez-White,Consumer,US,2022-04-05
CUST00218,Erickson and Sons,Consumer,US,2025-03-25
CUST00219,Williams-Brown,Consumer,US,2022-02-13
CUST00220,Terry-Martinez,Consumer,GB,2021-11-09
CUST00221,Garcia-Smith,Small Business,US,2023-08-28
CUST00222,Harrison-Alexander,Consumer,GB,2022-03-23
CUST00223,Sheppard LLC,Enterprise,US,2025-04-20
CUST00224,Wilson-Jones,Commercial,US,2024-05-25
CUST00225,Jones-Soto,Consumer,US,2022-09-30
CUST00226,Hernandez PLC,Consumer,GB,2021-02-22
CUST00227,Miller-Wright,Commercial,GB,2024-10-19
CUST00228,"Duran, Obrien and Gibbs",Enterprise,CA,2025-01-04
CUST00229,Rowe Group,Small Business,US,2024-04-27
CUST00230,Kerr-Evans,Small Business,US,2024-11-28
CUST00231,"Branch, Torres and Oliver",Commercial,GB,2025-07-08
CUST00232,"Choi, Garcia and Farmer",Consumer,GB,2025-05-22
CUST00233,"Clark, Guerrero and Moore",Consumer,US,2023-12-28
CUST00234,Arnold and Sons,Enterprise,US,2021-05-22
CUST00235,Ortiz Ltd,Commercial,US,2025-10-06
CUST00236,"Harrison, Johnson and Roberts",Enterprise,CA,2021-08-05
CUST00237,Warner-Gibson,Enterprise,US,2024-07-25
CUST00238,"Hall, Baker and Moody",Enterprise,US,2023-06-11
CUST00239,"Guerrero, Peck and Coleman",Small Business,GB,2024-08-25
CUST00240,"Walker, Hernandez and Baker",Commercial,GB,2025-07-14
CUST00241,Jones and Sons,Enterprise,CA,2023-06-12
CUST00242,Larson-Holloway,Commercial,US,2025-10-11
CUST00243,Gonzales-Harrison,Small Business,US,2022-07-26
CUST00244,Lyons-Bender,Enterprise,US,2025-03-17
CUST00245,"Fernandez, Kim and George",Enterprise,GB,2024-06-03
CUST00246,Navarro-Munoz,Enterprise,US,2021-02-28
CUST00247,Davis Ltd,Enterprise,US,2022-01-08
CUST00248,"Matthews, Smith and Hubbard",Enterprise,US,2022-12-28
CUST00249,Johnston-Hines,Commercial,US,2022-07-27
CUST00250,Ruiz Ltd,Commercial,GB,2021-01-21
